Country,2017,2018,2019
Norway,7.537,7.594,7.554
Denmark,7.522,7.555,7.6
Iceland,7.504,7.495,7.494
Switzerland,7.494,7.487,7.48
Finland,7.469,7.632,7.769
Netherlands,7.377,7.441,7.488
Canada,7.316,7.328,7.278
New Zealand,7.314,7.324,7.307
Sweden,7.284,7.314,7.343
Australia,7.284,7.272,7.228
Israel,7.213,6.814,7.139
Costa Rica,7.079,7.072,7.167
Austria,7.006,7.139,7.246
United States,6.993,6.886,6.892
Ireland,6.977,6.977,7.021
Germany,6.951,6.965,6.985
Belgium,6.891,6.927,6.923
Luxembourg,6.863,6.91,7.09
United Kingdom,6.714,7.19,7.054
Chile,6.652,6.476,6.444
United Arab Emirates,6.648,6.774,6.825
Brazil,6.635,6.419,6.3
Czech Republic,6.609,6.711,6.852
Argentina,6.599,6.388,6.086
Mexico,6.578,6.488,6.595
Singapore,6.572,6.343,6.262
Malta,6.527,6.627,6.726
Uruguay,6.454,6.379,6.293
Guatemala,6.454,6.382,6.436
Panama,6.452,6.43,6.321
France,6.442,6.489,6.592
Thailand,6.424,6.072,6.008
Taiwan Province of China,6.422,,
Spain,6.403,6.31,6.354
Qatar,6.375,6.374,6.374
Colombia,6.357,6.26,6.125
Saudi Arabia,6.344,6.371,6.375
Trinidad and Tobago,6.168,,
Kuwait,6.105,6.083,6.021
Slovakia,6.098,6.173,6.198
Bahrain,6.087,6.105,6.199
Malaysia,6.084,6.322,5.339
Nicaragua,6.071,6.141,6.105
Ecuador,6.008,5.973,6.028
El Salvador,6.003,6.167,6.253
Poland,5.973,6.123,6.182
Uzbekistan,5.971,6.096,6.174
Italy,5.964,6,6.223
Russia,5.963,5.81,5.648
Belize,5.956,5.956,
Japan,5.92,5.915,5.886
Lithuania,5.902,5.952,6.149
Algeria,5.872,5.295,5.211
Latvia,5.85,5.933,5.94
South Korea,5.838,5.875,5.895
Moldova,5.838,5.64,5.529
Romania,5.825,5.945,6.07
Bolivia,5.823,5.752,5.779
Turkmenistan,5.822,5.636,5.247
Kazakhstan,5.819,5.79,5.809
North Cyprus,5.81,,
Slovenia,5.758,5.948,6.118
Peru,5.715,5.663,5.697
Mauritius,5.629,5.891,5.888
Cyprus,5.621,5.762,6.046
Estonia,5.611,5.739,5.893
Belarus,5.569,5.483,5.323
Libya,5.525,5.566,5.525
Turkey,5.5,5.483,5.373
Paraguay,5.493,5.681,5.743
"Hong Kong S.A.R., China",5.472,,
Philippines,5.43,5.524,5.631
Serbia,5.395,5.398,5.603
Jordan,5.336,5.161,4.906
Hungary,5.324,5.62,5.758
Jamaica,5.311,5.89,5.89
Croatia,5.293,5.321,5.432
Kosovo,5.279,5.662,6.1
China,5.273,5.246,5.191
Pakistan,5.269,5.472,5.653
Indonesia,5.262,5.093,5.192
Venezuela,5.25,4.806,4.707
Montenegro,5.237,5.347,5.523
Morocco,5.235,5.254,5.208
Azerbaijan,5.234,5.201,5.208
Dominican Republic,5.23,5.302,5.425
Greece,5.227,5.358,5.287
Lebanon,5.225,5.358,5.197
Portugal,5.195,5.41,5.693
Bosnia and Herzegovina,5.182,5.129,5.386
Honduras,5.181,5.504,5.86
Macedonia,5.175,5.185,
Somalia,5.151,4.982,4.668
Vietnam,5.074,5.103,5.175
Nigeria,5.074,5.155,5.265
Tajikistan,5.041,5.199,5.467
Bhutan,5.011,5.082,5.082
Kyrgyzstan,5.004,5.131,5.261
Nepal,4.962,4.88,4.913
Mongolia,4.955,5.125,5.285
South Africa,4.829,4.724,4.722
Tunisia,4.805,4.592,4.461
Palestinian Territories,4.775,4.743,4.696
Egypt,4.735,4.419,4.166
Bulgaria,4.714,4.933,5.011
Sierra Leone,4.709,4.571,4.374
Cameroon,4.695,4.975,5.044
Iran,4.692,4.707,4.548
Albania,4.644,4.586,4.719
Bangladesh,4.608,4.5,4.456
Namibia,4.574,4.441,4.639
Kenya,4.553,4.41,4.509
Mozambique,4.55,4.417,4.466
Myanmar,4.545,4.308,4.36
Senegal,4.535,4.631,4.681
Zambia,4.514,4.377,4.107
Iraq,4.497,4.456,4.437
Gabon,4.465,4.758,4.799
Ethiopia,4.46,4.35,4.286
Sri Lanka,4.44,4.471,4.366
Armenia,4.376,4.321,4.559
India,4.315,4.19,4.015
Mauritania,4.292,4.356,4.49
Congo (Brazzaville),4.291,4.559,4.812
Georgia,4.286,4.34,4.519
Congo (Kinshasa),4.28,4.245,4.418
Mali,4.19,4.447,4.39
Ivory Coast,4.18,4.671,4.944
Cambodia,4.168,4.433,4.7
Sudan,4.139,4.139,
Ghana,4.12,4.657,4.996
Ukraine,4.096,4.103,4.332
Uganda,4.081,4.161,4.189
Burkina Faso,4.032,4.424,4.587
Niger,4.028,4.166,4.628
Malawi,3.97,3.587,3.41
Chad,3.936,4.301,4.35
Zimbabwe,3.875,3.692,3.663
Lesotho,3.808,3.808,3.802
Angola,3.795,3.795,
Afghanistan,3.794,3.632,3.203
Botswana,3.766,3.59,3.488
Benin,3.657,4.141,4.883
Madagascar,3.644,3.774,3.933
Haiti,3.603,3.582,3.597
Yemen,3.593,3.355,3.38
South Sudan,3.591,3.254,2.853
Liberia,3.533,3.495,3.975
Guinea,3.507,3.964,4.534
Togo,3.495,3.999,4.085
Rwanda,3.471,3.408,3.334
Syria,3.462,3.462,3.462
Tanzania,3.349,3.303,3.231
Burundi,2.905,2.905,3.775
Central African Republic,2.693,3.083,3.083
